"","**Group**","**C_ARRH_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","97","5582865","634.61","514.62","774.17"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","37","2877853","469.59","330.64","647.27"
"4",NA,"M","60","2705012","810.16","618.24","1042.84"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","1","328714","111.11","2.81","619.09"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","2","572095","127.69","15.46","461.26"
"12",NA,"40-49","1","862319","42.36","1.07","236.00"
"13",NA,"50-59","4","911317","160.32","43.68","410.48"
"14",NA,"60-69","10","698650","522.79","250.70","961.44"
"15",NA,"70-79","26","574281","1653.63","1080.21","2422.96"
"16",NA,"80+","53","509600","3798.71","2845.50","4968.81"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","5966","0.00","0.00","22584.03"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3823","0.00","0.00","35243.61"
"20",NA,"M","0","2143","0.00","0.00","62872.76"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","397","0.00","0.00","339386.20"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
