"","**Group**","**C_CAD_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","29","5614573","188.66","126.35","270.94"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","14","2888492","177.03","96.78","297.03"
"4",NA,"M","15","2726081","200.98","112.48","331.48"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","1","863709","42.29","1.07","235.62"
"13",NA,"50-59","4","911339","160.31","43.68","410.47"
"14",NA,"60-69","6","703457","311.53","114.33","678.08"
"15",NA,"70-79","11","581373","691.08","344.98","1236.53"
"16",NA,"80+","7","526602","485.52","195.20","1000.35"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","1.0","6182","5908.28","149.58","32918.84"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","4013","0.00","0.00","33574.96"
"20",NA,"M","1","2169","16839.56","426.34","93824.01"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","1","613","59584.01","1508.54","331980.87"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
