meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,4279,1
hospitalisation_primary,ICD9,4260,3
hospitalisation_secondary,ICD9,4275,1
hospitalisation_secondary,ICD9,42731,47
hospitalisation_primary,ICD9,42731,9
exemption,ICD9,427,14
hospitalisation_primary,ICD9,4270,1
hospitalisation_secondary,ICD9,42732,4
hospitalisation_primary,ICD9,4271,1
hospitalisation_secondary,ICD9,4262,1
exemption,ICD9,426,1
hospitalisation_primary,ICD9,42789,1
hospitalisation_primary,ICD9,42732,1
hospitalisation_secondary,ICD9,42789,1
hospitalisation_secondary,ICD9,42654,1
hospitalisation_secondary,ICD9,4260,1
hospitalisation_secondary,ICD9,4263,1
