meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,41041,3
hospitalisation_secondary,ICD9,412,6
hospitalisation_primary,ICD9,41071,6
hospitalisation_secondary,ICD9,452,2
hospitalisation_primary,ICD9,41519,4
hospitalisation_primary,ICD9,43491,3
hospitalisation_secondary,ICD9,41519,3
hospitalisation_primary,ICD9,43401,3
hospitalisation_secondary,ICD9,45111,1
hospitalisation_primary,ICD9,43400,1
hospitalisation_primary,ICD9,43411,2
hospitalisation_primary,ICD9,41001,1
hospitalisation_secondary,ICD9,45342,1
exemption,ICD9,434,1
hospitalisation_secondary,ICD9,45184,1
