meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,44020,2
hospitalisation_secondary,ICD9,44024,1
hospitalisation_primary,ICD9,44024,2
hospitalisation_primary,ICD9,41041,3
hospitalisation_secondary,ICD9,412,8
hospitalisation_secondary,ICD9,41401,8
hospitalisation_primary,ICD9,41401,5
hospitalisation_primary,ICD9,4149,3
exemption,ICD9,414,7
hospitalisation_secondary,ICD9,4149,14
hospitalisation_secondary,ICD9,4148,16
hospitalisation_primary,ICD9,41071,6
hospitalisation_secondary,ICD9,4409,1
hospitalisation_primary,ICD9,4111,5
hospitalisation_primary,ICD9,4139,4
hospitalisation_secondary,ICD9,44023,1
hospitalisation_secondary,ICD9,44022,1
hospitalisation_primary,ICD9,44023,3
hospitalisation_primary,ICD9,4148,1
hospitalisation_primary,ICD9,44021,2
hospitalisation_secondary,ICD9,41400,2
hospitalisation_secondary,ICD9,4408,1
hospitalisation_secondary,ICD9,41022,1
hospitalisation_secondary,ICD9,41010,1
hospitalisation_primary,ICD9,41001,1
hospitalisation_secondary,ICD9,4139,1
hospitalisation_secondary,ICD9,4110,1
