meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42822,2
hospitalisation_primary,ICD9,4280,12
hospitalisation_secondary,ICD9,4281,12
hospitalisation_primary,ICD9,42832,1
hospitalisation_secondary,ICD9,4289,4
hospitalisation_primary,ICD9,4281,8
hospitalisation_primary,ICD9,42823,3
hospitalisation_secondary,ICD9,42823,2
hospitalisation_secondary,ICD9,4280,15
hospitalisation_secondary,ICD9,42821,1
hospitalisation_primary,ICD9,42842,1
hospitalisation_primary,ICD9,42821,2
hospitalisation_primary,ICD9,42820,1
hospitalisation_primary,ICD9,42833,1
hospitalisation_secondary,ICD9,40411,1
hospitalisation_primary,ICD9,42822,2
hospitalisation_primary,ICD9,42843,1
hospitalisation_secondary,ICD9,42842,1
hospitalisation_secondary,ICD9,40291,1
