sex,ageband_at_study_entry,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,2020,235310,235310,235310,235310,235310,235310,235310,235310,235310,235310,235310,235310,235310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59,0,0,572.59
1,18-24,2020,90915,90915,90915,90915,90915,90915,90915,90915,90915,90915,90915,90915,90915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482,0,0,1482
1,18-24,2021,39008,39008,39008,39008,39008,39008,39008,39008,39008,39008,39008,39008,39008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07,0,0,3454.07
0,70-79,2020,158818,158818,158818,158818,158817,158818,158817,158490,158818,158818,158818,158490,158818,0,0,0,1,0,1,1,0,0,0,1,0,0,0,848.37,0,0,848.37,0,0,848.37,229.98,5.82,1281.38,0,0,848.37,229.98,5.82,1281.38,230.46,5.83,1284.02,0,0,848.37,0,0,848.37,0,0,848.37,230.46,5.83,1284.02,0,0,848.37
0,70-79,2021,49676,49676,49676,49676,49636,49676,49636,49550,49676,49676,49676,49550,49676,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2712.3,0,0,2712.3,0,0,2712.3,735.86,18.63,4099.93,0,0,2712.3,735.86,18.63,4099.93,0,0,2719.2,0,0,2712.3,0,0,2712.3,0,0,2712.3,0,0,2719.2,0,0,2712.3
1,0-4,2020,44476,44476,44476,44476,44476,44476,44476,44476,44476,44476,44476,44476,44476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42,0,0,3029.42
1,0-4,2021,21108,21108,21108,21108,21108,21108,21108,21108,21108,21108,21108,21108,21108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19,0,0,6383.19
0,0-4,2020,46740,46740,46740,46740,46740,46740,46740,46740,46740,46740,46740,46740,46740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68,0,0,2882.68
0,0-4,2021,21631,21631,21631,21631,21631,21631,21631,21631,21631,21631,21631,21631,21631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85,0,0,6228.85
0,25-29,2020,67831,67831,67831,67831,67831,67831,67831,67831,67831,67831,67831,67831,67831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35,0,0,1986.35
