sex,ageband_at_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19,0,0,47226.19
1,40-49,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83
0,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28,0,0,455190.28
0,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27,0,0,70029.27
1,40-49,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3
0,25-29,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49,0,0,132614.49
0,40-49,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38,0,0,47028.38
1,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6,0,0,51841.6
1,50-59,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09,0,0,720515.09
1,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22,0,0,46095.22
0,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25
0,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34,0,0,157035.34
1,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41,0,0,283655.41
0,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54,0,0,86148.54
