sex,ageband_at_date_vax_1,type_vax_1,history_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81,0,0,125452.81
0,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74,0,0,8567.74
0,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23,0,0,9841.23
1,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15,0,0,18597.15
1,25-29,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98,0,0,335164.98
0,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38,0,0,13058.38
1,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66,0,0,12024.66
1,30-39,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31
0,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950.05,0,0,3950.05,0,0,3950.05,0,0,3959.57,0,0,3950.05,0,0,3959.57,0,0,3950.05,0,0,3950.05,0,0,3950.05,0,0,3950.05,0,0,3950.05,0,0,3950.05
1,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14547.22,0,0,14547.22,0,0,14547.22,0,0,14547.22,0,0,14547.22,0,0,14547.22,0,0,14607.15,0,0,14547.22,0,0,14547.22,0,0,14547.22,0,0,14607.15,0,0,14547.22
1,80+,Pfizer,0,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5618.7,0,0,5618.7,0,0,5618.7,1524.03,38.59,8491.37,0,0,5618.7,1524.03,38.59,8491.37,0,0,5618.7,0,0,5618.7,0,0,5618.7,0,0,5618.7,0,0,5618.7,0,0,5618.7
0,30-39,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32,0,0,28969.32
1,40-49,Moderna,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84
1,40-49,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67,0,0,778822.67
1,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29328.76,0,0,29328.76,0,0,29328.76,0,0,29328.76,0,0,29328.76,0,0,29328.76,0,0,29437.69,0,0,29328.76,0,0,29328.76,0,0,29328.76,0,0,29437.69,0,0,29328.76
1,25-29,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58,0,0,71744.58
0,40-49,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27,0,0,14924.27
0,40-49,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17,0,0,25255.17
0,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38,0,0,15262.38
0,18-24,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51,0,0,168842.51
1,60-69,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93,0,0,37551.93
0,30-39,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55,0,0,50805.55
1,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07,0,0,11756.07
1,70-79,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01,0,0,47610.01
1,60-69,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07,0,0,121384.07
0,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09
1,40-49,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11,0,0,88759.11
1,18-24,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48,0,0,102305.48
0,30-39,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42,0,0,151559.42
0,18-24,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75,0,0,64652.75
1,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22,0,0,52983.22
0,60-69,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14,0,0,30122.14
1,30-39,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48,0,0,43859.48
1,25-29,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3,0,0,381689.3
0,50-59,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41,0,0,28461.41
1,50-59,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48,0,0,37364.48
0,25-29,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41,0,0,61862.41
1,70-79,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21,0,0,177518.21
0,40-49,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84
0,60-69,J&J,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5
1,30-39,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59,0,0,126039.59
1,50-59,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48466.3,0,0,48466.3,0,0,48466.3,0,0,48466.3,0,0,48466.3,0,0,48466.3,0,0,48888.36,0,0,48466.3,0,0,48466.3,0,0,48466.3,0,0,48888.36,0,0,48466.3
0,50-59,AstraZeneca,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83
0,12-17,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
0,60-69,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06,0,0,131965.06
0,50-59,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94,0,0,54482.94
0,25-29,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79,0,0,106426.79
0,25-29,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42,0,0,499023.42
1,12-17,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34,0,0,797256.34
1,40-49,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52,0,0,45289.52
0,50-59,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34,0,0,387173.34
0,25-29,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3
0,80+,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45
0,60-69,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34,0,0,389411.34
0,50-59,Moderna,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38
0,18-24,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05
1,18-24,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77
0,40-49,Moderna,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33,0,0,1320944.33
0,30-39,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03,0,0,2105255.03
1,30-39,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56,0,0,716682.56
