sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
0,2020-01,0-4,1309,1309,1309,1309,1309,0,0,0,0
0,2020-01,12-17,1918,1918,1918,1918,1918,0,0,0,0
0,2020-01,5-11,1870,1870,1870,1870,1870,0,0,0,0
0,2020-02,0-4,1189,1189,1189,1189,1189,0,0,0,0
0,2020-02,12-17,1788,1788,1788,1788,1788,0,0,0,0
0,2020-02,5-11,1750,1750,1750,1750,1750,0,0,0,0
0,2020-03,0-4,1264,1264,1264,1264,1264,0,0,0,0
0,2020-03,12-17,1926,1926,1926,1926,1926,0,0,0,0
0,2020-03,5-11,1814,1814,1814,1814,1814,0,0,0,0
0,2020-04,0-4,1152,1152,1152,1152,1152,0,0,0,0
0,2020-04,12-17,1809,1809,1809,1809,1809,0,0,0,0
0,2020-04,5-11,1788,1788,1788,1788,1788,0,0,0,0
0,2020-05,0-4,1178,1178,1178,1178,1178,0,0,0,0
0,2020-05,12-17,1837,1837,1837,1837,1837,0,0,0,0
0,2020-05,5-11,1860,1860,1860,1860,1860,0,0,0,0
0,2020-06,0-4,1122,1122,1122,1122,1122,0,0,0,0
0,2020-06,12-17,1752,1752,1752,1752,1752,0,0,0,0
0,2020-06,5-11,1818,1818,1818,1818,1818,0,0,0,0
0,2020-07,0-4,1116,1116,1116,1116,1116,0,0,0,0
0,2020-07,12-17,1798,1798,1798,1798,1798,0,0,0,0
0,2020-07,5-11,1922,1922,1922,1922,1922,0,0,0,0
0,2020-08,0-4,1116,1116,1116,1116,1116,0,0,0,0
0,2020-08,12-17,1749,1749,1749,1749,1749,0,0,0,0
0,2020-08,5-11,1870,1870,1870,1870,1870,0,0,0,0
0,2020-09,0-4,1025,1025,1025,1025,1025,0,0,0,0
