sex,ageband_at_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,5-11,2020,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,362,362,362,362,362,362,362,362,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,35,35,35,35,35,35,35,35,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,362,362,362,362,362,362,362,362,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,62,62,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,353,353,353,353,353,353,353,353,353,353,353,353,353,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021,619,619,619,619,619,619,619,619,619,619,619,619,619,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,181,181,181,181,181,181,181,181,181,181,181,181,181,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020,217,217,217,217,217,217,217,217,217,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021,206,206,206,206,206,206,206,206,206,206,206,206,206,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,442,442,442,442,442,442,442,442,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020,237,237,237,237,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,900,900,900,900,900,900,900,900,900,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,725,725,725,725,725,725,725,725,725,725,725,725,725,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,293,293,293,293,293,293,293,293,293,293,293,293,293,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,679,679,679,679,679,679,679,679,679,679,679,679,679,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,333,333,333,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,55,55,55,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,712,712,712,712,712,712,712,712,712,712,712,712,712,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020,590,590,590,590,590,590,590,590,590,590,590,590,590,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,118,118,118,118,118,118,118,118,118,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,274,274,274,274,274,274,274,202,274,274,274,202,274,0,0,0,0,0,0,< 5,0,0,0,< 5,0
0,60-69,2021,827,827,827,827,827,827,827,827,827,827,827,827,827,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,219,219,219,219,219,219,219,219,219,219,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,101,101,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,116,116,116,116,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,91,91,91,91,91,91,91,91,91,91,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2020,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020,62,62,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0
