sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,0-4,2020-01,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-02,928,928,928,928,928,928,928,928,928,928,928,928,928,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-03,992,992,992,992,992,992,992,992,992,992,992,992,992,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-04,930,930,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-05,961,961,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-06,930,930,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-07,961,961,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-08,961,961,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-09,875,875,875,875,875,875,875,875,875,875,875,875,875,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-10,885,885,885,885,885,885,885,885,885,885,885,885,885,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-11,772,772,772,772,772,772,772,772,772,772,772,772,772,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-12,775,775,775,775,775,775,775,775,775,775,775,775,775,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-01,775,775,775,775,775,775,775,775,775,775,775,775,775,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-02,700,700,700,700,700,700,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-03,775,775,775,775,775,775,775,775,775,775,775,775,775,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-04,746,746,746,746,746,746,746,746,746,746,746,746,746,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-05,743,743,743,743,743,743,743,743,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-06,660,660,660,660,660,660,660,660,660,660,660,660,660,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-01,899,899,899,899,899,899,899,899,899,899,899,899,899,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-02,840,840,840,840,840,840,840,840,840,840,840,840,840,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-03,868,868,868,868,868,868,868,868,868,868,868,868,868,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-04,820,820,820,820,820,820,820,820,820,820,820,820,820,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-05,837,837,837,837,837,837,837,837,837,837,837,837,837,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-06,810,810,810,810,810,810,810,810,810,810,810,810,810,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-07,815,815,815,815,815,815,815,815,815,815,815,815,815,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-08,806,806,806,806,806,806,806,806,806,806,806,806,806,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-09,780,780,780,780,780,780,780,780,780,780,780,780,780,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-10,806,806,806,806,806,806,806,806,806,806,806,806,806,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-11,780,780,780,780,780,780,780,780,780,780,780,780,780,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-12,806,806,806,806,806,806,806,806,806,806,806,806,806,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-01,798,798,798,798,798,798,798,798,798,798,798,798,798,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-02,700,700,700,700,700,700,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-03,775,775,775,775,775,775,775,775,775,775,775,775,775,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-04,743,743,743,743,743,743,743,743,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-05,737,737,737,737,737,737,737,737,737,737,737,737,737,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-06,690,690,690,690,690,690,690,690,690,690,690,690,690,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-01,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-02,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-03,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-04,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-05,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-06,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-07,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-08,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-09,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-10,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-11,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-12,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-01,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-02,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
