sex,ageband_at_date_vax_1,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,Pfizer,0,2021-05,868,868,868,868,868,868,868,868,868,868,868,868,868,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-06,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021-05,39,39,39,39,39,39,39,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021-06,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-04,143,143,143,143,143,143,143,143,143,143,143,143,143,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-05,790,790,790,790,790,790,790,790,790,790,790,790,790,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-06,93,93,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-06,1387,1387,1387,1387,1387,1387,1387,1357,1387,1387,1387,1357,1387,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-04,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-05,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-06,3369,3369,3369,3369,3369,3369,3369,3369,3369,3369,3369,3369,3369,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-03,805,805,805,805,805,805,805,805,805,805,805,805,805,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-06,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-01,158,158,158,158,158,158,158,158,158,158,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-02,345,345,345,345,345,345,345,345,345,345,345,345,345,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-03,445,445,445,445,445,445,445,445,445,445,445,445,445,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-04,468,468,468,468,468,468,468,468,468,468,468,468,468,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-06,912,912,912,912,912,912,912,912,912,912,912,912,912,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-03,70,70,70,70,70,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-04,790,790,790,790,790,790,790,790,790,790,790,790,790,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-05,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-06,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-03,60,60,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-04,209,209,209,209,209,209,209,209,209,209,209,209,209,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-05,361,361,361,361,361,361,361,361,361,361,361,361,361,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-06,420,420,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-05,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-06,764,764,764,764,764,764,764,747,764,764,764,747,764,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-05,802,802,802,802,802,802,802,802,802,802,802,802,802,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-06,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-01,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
