meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42731,20
emergency_room_diagnosis,ICD9,42732,< 5
hospitalisation_primary,ICD9,42731,< 5
exemption,ICD9,427,< 5
emergency_room_diagnosis,ICD9,42731,8
emergency_room_diagnosis,ICD9,42760,< 5
emergency_room_diagnosis,ICD9,4270,< 5
hospitalisation_primary,ICD9,4270,< 5
exemption,ICD9,426,< 5
hospitalisation_primary,ICD9,42732,< 5
hospitalisation_primary,ICD9,4260,< 5
hospitalisation_secondary,ICD9,42789,< 5
emergency_room_diagnosis,ICD9,4260,< 5
hospitalisation_secondary,ICD9,42654,< 5
hospitalisation_secondary,ICD9,42732,< 5
hospitalisation_secondary,ICD9,4263,< 5
