meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,452,< 5
emergency_room_diagnosis,ICD9,41519,< 5
hospitalisation_primary,ICD9,43491,< 5
hospitalisation_secondary,ICD9,41519,< 5
emergency_room_diagnosis,ICD9,4510,< 5
emergency_room_diagnosis,ICD9,41071,< 5
hospitalisation_primary,ICD9,41041,< 5
hospitalisation_primary,ICD9,41001,< 5
exemption,ICD9,434,< 5
hospitalisation_primary,ICD9,43411,< 5
emergency_room_diagnosis,ICD9,43491,< 5
