meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,44020,< 5
hospitalisation_secondary,ICD9,44024,< 5
hospitalisation_primary,ICD9,44024,< 5
hospitalisation_secondary,ICD9,4149,< 5
hospitalisation_secondary,ICD9,4148,7
hospitalisation_secondary,ICD9,44023,< 5
hospitalisation_primary,ICD9,4111,< 5
emergency_room_diagnosis,ICD9,41071,< 5
hospitalisation_secondary,ICD9,412,< 5
hospitalisation_primary,ICD9,4139,< 5
emergency_room_diagnosis,ICD9,41091,< 5
hospitalisation_primary,ICD9,41041,< 5
hospitalisation_secondary,ICD9,41401,< 5
hospitalisation_primary,ICD9,41001,< 5
hospitalisation_secondary,ICD9,4139,< 5
hospitalisation_primary,ICD9,41071,< 5
