sex,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
1,2020,0-4,23485,23485,23485,23485,23485,23485,23485,23485,23485,23485,23485,23485,23485,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,0-4,10855,10855,10855,10855,10855,10855,10855,10855,10855,10855,10855,10855,10855,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,0-4,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,0-4,10310,10310,10310,10310,10310,10310,10310,10310,10310,10310,10310,10310,10310,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,5-11,912,912,912,912,912,912,912,912,912,912,912,912,912,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,5-11,729,729,729,729,729,729,729,729,729,729,729,729,729,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,0-4,6270,6270,6270,6270,6270,6270,6270,6270,6270,6270,6270,6270,6270,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,5-11,71343,71343,71343,71343,71343,71343,71343,71343,71343,71343,71343,71343,71343,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,5-11,34756,34756,34756,34756,34756,34756,34756,34756,34756,34756,34756,34756,34756,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,5-11,89960,89960,89960,89960,89960,89960,89960,89960,89960,89960,89960,89960,89960,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,5-11,43979,43979,43979,43979,43979,43979,43979,43979,43979,43979,43979,43979,43979,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,0-4,6712,6712,6712,6712,6712,6712,6712,6712,6712,6712,6712,6712,6712,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,12-17,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,12-17,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,12-17,61644,61644,61644,61644,61644,61644,61644,61644,61644,61644,61644,61644,61644,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,12-17,28115,28115,28115,28115,28115,28115,28115,28115,28115,28115,28115,28115,28115,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,5-11,7880,7880,7880,7880,7880,7880,7880,7880,7880,7880,7880,7880,7880,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,12-17,76996,76996,76996,76996,76996,76996,76996,76996,76996,76996,76996,76996,76996,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,12-17,37672,37672,37672,37672,37672,37672,37672,37672,37672,37672,37672,37672,37672,0,0,0,0,0,0,0,0,0,0,0,0
