sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,2020-01,20124,20124,20124,20124,20124,20124,20124,20124,20124,20124,20124,20124,20124,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-02,18772,18772,18772,18772,18772,18772,18772,18772,18772,18772,18772,18772,18772,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-03,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-04,19410,19410,19410,19410,19410,19410,19410,19410,19410,19410,19410,19410,19410,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-05,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-06,19359,19359,19359,19359,19359,19359,19359,19359,19359,19359,19359,19359,19359,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-07,19959,19959,19959,19959,19959,19959,19959,19959,19959,19959,19959,19959,19959,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-08,19914,19914,19914,19914,19914,19914,19914,19914,19914,19914,19914,19914,19914,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-09,19260,19260,19260,19260,19260,19260,19260,19260,19260,19260,19260,19260,19260,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-10,19860,19860,19860,19860,19860,19860,19860,19860,19860,19860,19860,19860,19860,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-11,19083,19083,19083,19083,19083,19083,19083,19083,19083,19083,19083,19083,19083,0,0,0,0,0,0,0,0,0,0,0,0
