meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,4279,< 5
hospitalisation_primary,ICD9,4260,< 5
hospitalisation_secondary,ICD9,4275,< 5
hospitalisation_secondary,ICD9,42731,47
hospitalisation_primary,ICD9,42731,9
exemption,ICD9,427,14
hospitalisation_primary,ICD9,4270,< 5
hospitalisation_secondary,ICD9,42732,< 5
hospitalisation_primary,ICD9,4271,< 5
hospitalisation_secondary,ICD9,4262,< 5
exemption,ICD9,426,< 5
hospitalisation_primary,ICD9,42789,< 5
hospitalisation_primary,ICD9,42732,< 5
hospitalisation_secondary,ICD9,42789,< 5
hospitalisation_secondary,ICD9,42654,< 5
hospitalisation_secondary,ICD9,4260,< 5
hospitalisation_secondary,ICD9,4263,< 5
