meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,44020,< 5
hospitalisation_secondary,ICD9,44024,< 5
hospitalisation_primary,ICD9,44024,< 5
hospitalisation_primary,ICD9,41041,< 5
hospitalisation_secondary,ICD9,412,8
hospitalisation_secondary,ICD9,41401,8
hospitalisation_primary,ICD9,41401,5
hospitalisation_primary,ICD9,4149,< 5
exemption,ICD9,414,7
hospitalisation_secondary,ICD9,4149,14
hospitalisation_secondary,ICD9,4148,16
hospitalisation_primary,ICD9,41071,6
hospitalisation_secondary,ICD9,4409,< 5
hospitalisation_primary,ICD9,4111,5
hospitalisation_primary,ICD9,4139,< 5
hospitalisation_secondary,ICD9,44023,< 5
hospitalisation_secondary,ICD9,44022,< 5
hospitalisation_primary,ICD9,44023,< 5
hospitalisation_primary,ICD9,4148,< 5
hospitalisation_primary,ICD9,44021,< 5
hospitalisation_secondary,ICD9,41400,< 5
hospitalisation_secondary,ICD9,4408,< 5
hospitalisation_secondary,ICD9,41022,< 5
hospitalisation_secondary,ICD9,41010,< 5
hospitalisation_primary,ICD9,41001,< 5
hospitalisation_secondary,ICD9,4139,< 5
hospitalisation_secondary,ICD9,4110,< 5
