meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,25070,< 5
hospitalisation_secondary,ICD9,25070,5
hospitalisation_secondary,ICD9,25000,28
hospitalisation_secondary,ICD9,25002,14
exemption,ICD9,250,18
hospitalisation_secondary,ICD9,25010,< 5
hospitalisation_secondary,ICD9,25060,< 5
hospitalisation_secondary,ICD9,25080,< 5
hospitalisation_secondary,ICD9,25050,< 5
hospitalisation_secondary,ICD9,25082,< 5
hospitalisation_secondary,ICD9,25090,< 5
hospitalisation_secondary,ICD9,25072,< 5
