meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,34510,< 5
hospitalisation_secondary,ICD9,78039,< 5
hospitalisation_secondary,ICD9,34590,< 5
hospitalisation_secondary,ICD9,34540,< 5
hospitalisation_secondary,ICD9,34511,< 5
hospitalisation_primary,ICD9,34590,< 5
hospitalisation_secondary,ICD9,3453,< 5
hospitalisation_primary,ICD9,34510,< 5
hospitalisation_primary,ICD9,34580,< 5
exemption,ICD9,345,< 5
hospitalisation_primary,ICD9,78031,< 5
