meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42822,< 5
exemption,ICD9,402,12
hospitalisation_primary,ICD9,4280,12
hospitalisation_secondary,ICD9,4281,12
hospitalisation_primary,ICD9,42832,< 5
hospitalisation_secondary,ICD9,4289,< 5
hospitalisation_primary,ICD9,4281,8
hospitalisation_secondary,ICD9,40211,7
hospitalisation_secondary,ICD9,40210,8
hospitalisation_primary,ICD9,42823,< 5
hospitalisation_secondary,ICD9,42823,< 5
hospitalisation_primary,ICD9,4150,< 5
hospitalisation_secondary,ICD9,4280,15
hospitalisation_secondary,ICD9,42821,< 5
hospitalisation_primary,ICD9,42842,< 5
hospitalisation_primary,ICD9,42821,< 5
hospitalisation_secondary,ICD9,40290,< 5
hospitalisation_primary,ICD9,42820,< 5
hospitalisation_primary,ICD9,42833,< 5
hospitalisation_secondary,ICD9,40201,< 5
hospitalisation_secondary,ICD9,40411,< 5
hospitalisation_primary,ICD9,42822,< 5
hospitalisation_primary,ICD9,42843,< 5
hospitalisation_secondary,ICD9,42842,< 5
hospitalisation_secondary,ICD9,40200,< 5
hospitalisation_secondary,ICD9,40291,< 5
