"","**Characteristic**","**TEST_ER_HOSP**"
"1","Study population","3595 (100%)"
"2","pfizer dose 1","1014 (28.21%)"
"3","pfizer dose 2","381 (37.57%)"
"4","other dose 2","1 (0.10%)"
"5","novavax dose 2","0 (0.00%)"
"6","moderna dose 2","0 (0.00%)"
"7","astrazeneca dose 2","1 (0.10%)"
"8","janssen dose 2","0 (0.00%)"
"9","unk dose 2","0 (0.00%)"
"10","Amongst persons with pfizer dose 2 distance",NA
"11","Minimum","19"
"12","25%","20"
"13","50%","22"
"14","75%","24"
"15","Maximum","61"
"16","pfizer dose 3","3 (0.30%)"
"17","other dose 3","0 (0.00%)"
"18","novavax dose 3","0 (0.00%)"
"19","moderna dose 3","0 (0.00%)"
"20","astrazeneca dose 3","0 (0.00%)"
"21","janssen dose 3","0 (0.00%)"
"22","unk dose 3","0 (0.00%)"
"23","Amongst persons with pfizer dose 3 distance",NA
"24","Minimum","124"
"25","25%","138"
"26","50%","151"
"27","75%","153"
"28","Maximum","155"
"29","novavax dose 1","0 (0.00%)"
"30","moderna dose 1","176 (4.90%)"
"31","moderna dose 2","86 (48.86%)"
"32","other dose 2","0 (0.00%)"
"33","pfizer dose 2","0 (0.00%)"
"34","novavax dose 2","0 (0.00%)"
"35","astrazeneca dose 2","0 (0.00%)"
"36","janssen dose 2","0 (0.00%)"
"37","unk dose 2","0 (0.00%)"
"38","Amongst persons with moderna dose 2 distance",NA
"39","Minimum","24.0"
"40","25%","27.0"
"41","50%","28.0"
"42","75%","30.0"
"43","Maximum","44.0"
"44","moderna dose 3","0 (0.00%)"
"45","other dose 3","0 (0.00%)"
"46","pfizer dose 3","0 (0.00%)"
"47","novavax dose 3","0 (0.00%)"
"48","astrazeneca dose 3","0 (0.00%)"
"49","janssen dose 3","0 (0.00%)"
"50","unk dose 3","0 (0.00%)"
"51","astrazeneca dose 1","258 (7.18%)"
"52","astrazeneca dose 2","116 (44.96%)"
"53","other dose 2","5 (1.94%)"
"54","pfizer dose 2","5 (1.94%)"
"55","novavax dose 2","0 (0.00%)"
"56","moderna dose 2","0 (0.00%)"
"57","janssen dose 2","0 (0.00%)"
"58","unk dose 2","0 (0.00%)"
"59","Amongst persons with astrazeneca dose 2 distance",NA
"60","Minimum","70.00"
"61","25%","82.00"
"62","50%","84.00"
"63","75%","85.00"
"64","Maximum","89.00"
"65","Amongst persons with other dose 2 distance",NA
"66","Minimum","82.00"
"67","25%","84.00"
"68","50%","84.00"
"69","75%","84.00"
"70","Maximum","85.00"
"71","astrazeneca dose 3","0 (0.00%)"
"72","other dose 3","0 (0.00%)"
"73","pfizer dose 3","0 (0.00%)"
"74","novavax dose 3","0 (0.00%)"
"75","moderna dose 3","0 (0.00%)"
"76","janssen dose 3","0 (0.00%)"
"77","unk dose 3","0 (0.00%)"
"78","janssen dose 1","42 (1.17%)"
"79","janssen dose 2","0 (0.00%)"
"80","other dose 2","0 (0.00%)"
"81","pfizer dose 2","0 (0.00%)"
"82","novavax dose 2","0 (0.00%)"
"83","moderna dose 2","0 (0.00%)"
"84","astrazeneca dose 2","0 (0.00%)"
"85","unk dose 2","0 (0.00%)"
"86","janssen dose 3","0 (0.00%)"
"87","other dose 3","0 (0.00%)"
"88","pfizer dose 3","0 (0.00%)"
"89","novavax dose 3","0 (0.00%)"
"90","moderna dose 3","0 (0.00%)"
"91","astrazeneca dose 3","0 (0.00%)"
"92","unk dose 3","0 (0.00%)"
"93","unk dose 1","0 (0.00%)"
